trinity,start,stop,ho8_quants,ho7_quants
TRINITY_DN18363_c0_g1,270,428,0.0,217.48482
TRINITY_DN18363_c0_g1,244,405,0.0,217.48482
TRINITY_DN18363_c0_g1,270,456,0.0,217.48482
TRINITY_DN18363_c0_g1,265,426,0.0,217.48482
TRINITY_DN18372_c1_g1,4,54,0.0,38.7048
TRINITY_DN18372_c1_g1,274,438,0.0,38.7048
TRINITY_DN18372_c1_g2,225,413,0.460259,8.8683
TRINITY_DN18372_c1_g2,227,415,0.460259,8.8683
TRINITY_DN18399_c0_g1,133,222,19.86397,8.411756
TRINITY_DN18571_c0_g1,258,396,24.64474,11.062312
TRINITY_DN18590_c4_g1,3,80,0.0,0.71797
TRINITY_DN18860_c0_g1,236,442,0.0,11.4798
TRINITY_DN18860_c0_g2,232,439,13.8195,5.9925
TRINITY_DN18860_c1_g1,259,379,1.55346,3.76432
TRINITY_DN18860_c1_g1,259,380,1.55346,3.76432
TRINITY_DN18860_c1_g1,280,400,1.55346,3.76432
TRINITY_DN18860_c1_g1,281,402,1.55346,3.76432
TRINITY_DN18860_c1_g1,281,401,1.55346,3.76432
TRINITY_DN18980_c0_g1,249,420,42.75409,72.3864
TRINITY_DN18980_c0_g1,277,441,42.75409,72.3864
TRINITY_DN18980_c0_g1,65,231,42.75409,72.3864
TRINITY_DN19012_c0_g1,279,389,7.68279,0.0
TRINITY_DN19012_c1_g1,23,131,5.03232,7.12542
TRINITY_DN19012_c2_g1,230,380,3.29674,0.0
TRINITY_DN19226_c0_g1,250,380,6.0425338,6.891867
TRINITY_DN19226_c0_g2,277,397,0.0,1.60752
TRINITY_DN19226_c0_g2,279,393,0.0,1.60752
TRINITY_DN19226_c0_g2,279,398,0.0,1.60752
TRINITY_DN19226_c0_g2,55,115,0.0,1.60752
TRINITY_DN19252_c0_g1,251,387,0.0,1.2927
TRINITY_DN19252_c0_g1,250,388,0.0,1.2927
TRINITY_DN19252_c0_g1,251,386,0.0,1.2927
TRINITY_DN19252_c0_g1,250,389,0.0,1.2927
TRINITY_DN19271_c1_g1,267,406,6.43577,0.0
TRINITY_DN19271_c1_g1,267,407,6.43577,0.0
TRINITY_DN19271_c1_g1,218,356,6.43577,0.0
TRINITY_DN19271_c1_g1,3,115,6.43577,0.0
TRINITY_DN19318_c1_g3,275,400,20.8837305,32.57702
TRINITY_DN19329_c0_g1,287,444,30.869207,39.124225
TRINITY_DN19451_c0_g1,205,446,10.5411940116,5.9897192
TRINITY_DN19451_c0_g1,121,394,10.5411940116,5.9897192
TRINITY_DN19451_c0_g1,205,439,10.5411940116,5.9897192
TRINITY_DN19451_c0_g1,122,388,10.5411940116,5.9897192
TRINITY_DN19451_c0_g2,25,189,3.75474,0.987138
TRINITY_DN19534_c1_g1,231,367,0.0,1.15032
TRINITY_DN19534_c1_g1,2,43,0.0,1.15032
TRINITY_DN19556_c0_g1,264,393,16.01337,27.686951
TRINITY_DN19556_c0_g1,199,328,16.01337,27.686951
TRINITY_DN19643_c1_g1,284,422,0.104947,8.968453
TRINITY_DN19643_c1_g1,253,430,0.104947,8.968453
TRINITY_DN19643_c1_g1,109,251,0.104947,8.968453
TRINITY_DN19643_c1_g1,253,428,0.104947,8.968453
TRINITY_DN19643_c1_g1,252,429,0.104947,8.968453
TRINITY_DN19643_c1_g1,252,427,0.104947,8.968453
TRINITY_DN19699_c0_g1,229,374,7.00902,3.18534
TRINITY_DN19699_c0_g1,247,389,7.00902,3.18534
TRINITY_DN19699_c0_g1,250,393,7.00902,3.18534
TRINITY_DN19699_c0_g1,230,375,7.00902,3.18534
TRINITY_DN19699_c0_g1,246,389,7.00902,3.18534
TRINITY_DN19699_c0_g1,247,390,7.00902,3.18534
TRINITY_DN19699_c0_g1,230,372,7.00902,3.18534
TRINITY_DN19699_c0_g1,247,391,7.00902,3.18534
TRINITY_DN19699_c0_g1,246,390,7.00902,3.18534
TRINITY_DN19699_c0_g1,246,391,7.00902,3.18534
TRINITY_DN19751_c1_g1,16,201,40.5835847845,29.7750399
TRINITY_DN19751_c1_g1,262,445,40.5835847845,29.7750399
TRINITY_DN19751_c1_g1,261,407,40.5835847845,29.7750399
TRINITY_DN19891_c0_g1,294,441,3.28334,9.17873
TRINITY_DN19891_c0_g1,106,200,3.28334,9.17873
TRINITY_DN19891_c0_g1,294,388,3.28334,9.17873
TRINITY_DN19903_c0_g1,269,419,2.14876,0.0828765
TRINITY_DN19903_c0_g1,268,421,2.14876,0.0828765
TRINITY_DN19903_c0_g1,268,420,2.14876,0.0828765
TRINITY_DN19903_c0_g1,23,91,2.14876,0.0828765
TRINITY_DN20044_c0_g1,183,238,10.7312911,20.5087
TRINITY_DN20044_c0_g1,237,324,10.7312911,20.5087
TRINITY_DN20044_c0_g1,329,416,10.7312911,20.5087
TRINITY_DN20053_c0_g1,282,438,12.4590135,9.21452
TRINITY_DN20053_c0_g1,58,181,12.4590135,9.21452
TRINITY_DN20053_c0_g1,277,395,12.4590135,9.21452
TRINITY_DN20053_c0_g1,251,369,12.4590135,9.21452
TRINITY_DN20053_c0_g1,253,369,12.4590135,9.21452
TRINITY_DN20053_c0_g1,283,401,12.4590135,9.21452
TRINITY_DN20053_c0_g1,282,401,12.4590135,9.21452
TRINITY_DN20053_c0_g1,9,125,12.4590135,9.21452
TRINITY_DN20053_c0_g1,279,437,12.4590135,9.21452
TRINITY_DN20053_c0_g1,277,396,12.4590135,9.21452
TRINITY_DN20053_c0_g1,2,43,12.4590135,9.21452
TRINITY_DN20071_c0_g1,269,478,2.32286,2.54245
TRINITY_DN20071_c0_g1,221,385,2.32286,2.54245
TRINITY_DN20071_c0_g1,264,409,2.32286,2.54245
TRINITY_DN20127_c0_g1,291,457,14.335433,38.82102
TRINITY_DN20127_c0_g1,278,467,14.335433,38.82102
TRINITY_DN20148_c0_g1,276,414,15.3616,0.0
TRINITY_DN20148_c0_g1,180,322,15.3616,0.0
TRINITY_DN20148_c0_g1,315,454,15.3616,0.0
TRINITY_DN20148_c0_g1,3,139,15.3616,0.0
TRINITY_DN20148_c0_g1,268,410,15.3616,0.0
TRINITY_DN20148_c0_g1,34,176,15.3616,0.0
TRINITY_DN20148_c0_g1,37,176,15.3616,0.0
TRINITY_DN20148_c0_g1,116,255,15.3616,0.0
TRINITY_DN20148_c0_g1,271,410,15.3616,0.0
TRINITY_DN20172_c0_g1,11,157,51.23733,57.0648346
TRINITY_DN20172_c0_g1,220,418,51.23733,57.0648346
TRINITY_DN20287_c0_g1,252,358,13.1174,0.0
TRINITY_DN20287_c0_g1,256,416,13.1174,0.0
TRINITY_DN20287_c0_g1,261,420,13.1174,0.0
TRINITY_DN20287_c0_g1,261,369,13.1174,0.0
TRINITY_DN20287_c0_g1,263,421,13.1174,0.0
TRINITY_DN20287_c0_g1,261,387,13.1174,0.0
TRINITY_DN20287_c0_g1,261,421,13.1174,0.0
TRINITY_DN20287_c0_g1,261,377,13.1174,0.0
TRINITY_DN20287_c0_g1,256,382,13.1174,0.0
TRINITY_DN20287_c0_g1,261,372,13.1174,0.0
TRINITY_DN20287_c0_g1,263,389,13.1174,0.0
TRINITY_DN20287_c0_g1,261,419,13.1174,0.0
TRINITY_DN20287_c0_g1,263,374,13.1174,0.0
TRINITY_DN20296_c0_g1,154,320,4.41926,0.0
TRINITY_DN20296_c0_g1,156,319,4.41926,0.0
TRINITY_DN20296_c0_g1,91,257,4.41926,0.0
TRINITY_DN20296_c0_g1,156,323,4.41926,0.0
TRINITY_DN20296_c0_g1,125,292,4.41926,0.0
TRINITY_DN20354_c0_g1,256,446,7.13787,21.2092785148
TRINITY_DN20354_c0_g1,8,186,7.13787,21.2092785148
TRINITY_DN20354_c0_g1,256,447,7.13787,21.2092785148
TRINITY_DN20438_c0_g1,2,112,38.169503,13.1492127
TRINITY_DN20438_c0_g1,26,152,38.169503,13.1492127
TRINITY_DN20438_c0_g1,26,151,38.169503,13.1492127
TRINITY_DN20438_c0_g1,52,148,38.169503,13.1492127
TRINITY_DN20438_c0_g1,52,178,38.169503,13.1492127
TRINITY_DN20438_c0_g1,8,92,38.169503,13.1492127
TRINITY_DN20438_c0_g1,8,122,38.169503,13.1492127
TRINITY_DN20438_c0_g1,26,122,38.169503,13.1492127
TRINITY_DN20827_c0_g1,7,96,20.093228,16.0008891
TRINITY_DN20992_c0_g1,283,404,21.863439,6.0022214
TRINITY_DN29284_c0_g1,269,417,1.01726,1.54243
TRINITY_DN30163_c0_g1,58,192,0.0,1.58658
TRINITY_DN30342_c0_g1,1,131,0.0,1.97678
TRINITY_DN31666_c0_g1,19,106,1.48441,0.0
TRINITY_DN33643_c0_g1,92,194,0.0,1.6795
TRINITY_DN4049_c0_g1,70,223,2.4493,0.0
TRINITY_DN8712_c0_g1,284,446,2.156514,0.787049
TRINITY_DN9813_c0_g1,3,126,1.29582,0.465965
